Name of Company,Type of Industry,Company Address
NSPH INC.,IT NETWORK & SECURITY,"UNIT 202 RIVERBEND BLDG. BJD DEV. CORP. 1869 P. DOMINGO ST. KASILAWAN, MAKATI CITY 1206"
NTEKSYSTEMS INCORPORATED,System Integration and Game Development," Topy Bldg. I #3 Economia St. Brgy. Bagumbayan, Quezon City"
NuffNang Philippines,Digital Advertising,"Unit 420 Cityland Shaw Tower, St. Francis Street, Shaw Boulevard, Mandaluyong City, Philippines"
Numlock Business Solution Co.,Computer Software,"909 One Corporate Centre, Dona Julia Vargas Ave. Cor. Meralco Ave. Ortigas Center, Pasig city"
"Oampi, Inc.",BPO,6780 Ayala Ave. Makati City
OFFSHORLY LTD.,Software & Computer Services,"Cyberone Plaza, Eastwood, Cyberpark City"
Oikos Technologies Information Services,Advertising / Design / Marketing,"B2 L38 Champaca St., Maligaya Subd. Nova Q.C"
Ollopa Corporation,Travel/Tourism,"No. 22 Ipil St Sitio Seville, Quezon City"
Olvro Co. Ltd,IT Manpower Provider,"19th Floor Marco Polo Ortigas Manila, Sapphire Road,Ortigas Center, Pasig City, 1600 Philippines."
Oma Construction Project Management & Dev't. Corp.,Construction & Materials,"407, 4F FMSG Bldg. 9 Balete Drive, Brgy. Mariana, New Manila, Quezon city"
"Omega Business Consulting, Inc. / Extrasolutions Technology, Inc.",Software Development,"11/F Bankmer Building, 6756 Ayala Avenue, Makati City, Philippines"
Omnicom Media Group,Advertising Company,"Golden Mile Business Park, SEZ Governors Drive, Brgy. Maduya, Carmona, Cavite, Philippines 4116"
"On Semiconductor Philippines, Inc.",HR Consultancy,"17/F Orient Square Building, Emerald Avenue, Ortigas Center, Pasig City, Philippines"
One Global Contact Center,,"833 Pike Street, Bagong Ilog, Pasig City, Philippines"
"One Point Contact, Inc.",ATM Maintenance,"Level 17, 6750 Ayala Avenue, Makati City, Philippines"
One Resource Lab,,"Lot 2 Block 2 Buckingham Corner Somerset St., Victorian Heights, West Fairview Quezon City"
ONESKY GROUP OF COMPANIES,Construction / Agrichemicals,"449 FOCHUN INDUSTRIAL COMPOUND, BRGY SANTOL, BALAGTAS, BULACAN"
Onestate Interactive Company,Printing & Advertising,"11/F Two E-Com Center, Tower B, Bayshore Avenue, MOA Complex, Pasay City, Philippines"
"OOCL Philippines, Inc.",Transportation/Logistics,"10/F 6780 Ayala Avenue, Makati City, Philippines"
"Open Access Marketing Philippines, Inc. (OAMPI)",,"Suite 2501, The Orient Square Building, F. Ortigas Jr. Road, Pasig City, Philippines 1605"
OpenMed Inc.,Business Process Outsourcing,"DUPLEX UNIT B2 UPPER BOLHO GEMINI APT. PUROK 5 SAN JOSE, CEBU CITY"
OpenText Inc.,,
Optimum Minds Media Productions,Media Production,"(CAPITAL), CEBU, Region VII(CENTRAL VISAYAS), 6000"
"Optimum Source, Inc.",BPO,"4/F CJV Building, 108 Aguirre Street, Legaspi Village, Makati City, Philippines"
"Optodev, Incorporated",Manufacturer of Opthalmic lenses,"Block 2 Lot 2 Corner Star Avenue & Interstar, LIIP Mamplasan, Binan, Laguna 4024"
Orange and Bronze Software Labs Ltd. Co.,"IT Software, Outsourcing","611 Globe Telecom Tower 1, Pioneer Street cor. Madison Street, Mandaluyong City, Philippines"
"OrbitCad Asia, Inc.",CAD Outsourcing .,"9/F Ortigas Building, Ortigas Avenue, Pasig City, Philippines"
Orient Overseas Container Line,,
Orisis Threesixty,BPO COMPANY,10th-11th/F Tower 3 Double Dragon Building 2850 Edsa Cor. Diosdado Macapagal Ave. Pasay
Ortigas and Company Ltd. Partnership,Real State Business,"No. 4B Eurovilla II, 118 V.A. Rufina Street, Makati City, Philippines 1223"
Outbox Media Production Agency,Multimedia Production Company,"Units 10-12 2/F, Makati Square, Chino Roces Avenue, Brgy. Pio del Pilar, Makati City, Philippines"
"Outsourced Quality Assured Services. Inc,",Offshore Staffing Services,"19F, Cyber Bldg. Eastwood City, Cyber Park., Bagumbayan, Quezon city"
"P.A. Metro Residences Builders, Inc.",,"11/F Robinsons Equitable Tower, Ortigas Center, Pasig City, Philippines"
Pacific Elements,,"1223 Lacson Avenue, Sampaloc, Manila"
Pacific Hub Corporation,Telecommunication Company,292 D.Tuazon St. Quezon City
Pacific Icon 2,,1423 Dapitan Corner Antonio St. Sampaloc Manila
"Pacific Paint (BOYSEN) Philippines, Inc.",Manufacturing of Paints,"408 Amang Rodriguez Avenue, Manggahan, Pasig City, Philippines"
"Pag Asa Steel Works, Inc.",Steel Manufacturing Company,"WFFC / PAGASA, BIR Road, Diliman, Quezon City, Philippines"
Pag Ibig Fund,Government Financial Institution,409 Shaw Blvd. Mandaluyong City
"PAGASA-DOST (Philippine Atmospheric, Geophysical & Astronomical Services, Administration)",,"Block 2B, Lot 725, San Francisco, Biñan, Laguna, Philippines"
Pamcore Steel Corporation,Constructions/Steel Works,"Ortigas Avenue Extension, Taytay, Rizal, Philippines"
Panasonic Manufacturing Philippines Corporation (PMPC),Home Appliance Manufacturer,"Ortigas Avenue, Extension, Taytay, Rizal 1920, Philippines"
PANSERV ENTERPRISES,,
Pantronics International Corporation,Electronic & Electrical Equipment,51-53 GENERAL ROSENDO SIMON ST. CALOOCAN  CITY            
"Paradigm Global Investment Management, Inc.",Investment Management,"14/F Tower 1, RCBC Plaza, Ayala Avenue cor. Gil Puyat Avenue, Makati City, Philippines"
Paragon International Customer Care Ltd.,BPO-CONTACT CENTER,"1608 Quezon Avenue, Quezon City, Philippines"
Pasig River Rehabilitation Commission (PRRC),Rehabilitate Pasig River,"1608 Quezon Avenue, Quezon City"
Pathland Development Corporation,Real State & Land Management,"11-A OVJ Building, N. Roxas Street, Quezon City, Philippines"
Payreto Services Inc.,BPO/Financial Services,"Penthouse A&D, Valero Tower, 122 Valero st. Salcedo Village, Makati City"
Private Education Assistance Commitee,Education Training,Unit 2505-2507 25th Floor Philippines Axa Life Center 1286 Sen. Gil Puyat Avenue Corner Tindalo St. Makati City
PPC Asia Corporation,Automobiles & Parts,"28/F THE UPPER CLASS TOWER LOT 1A & 1B BLK S139 QUEZON AVE., CORNER SCOUT REYES, PALIGSAHAN D4, QUEZON CITY"
"PC Klinik, Inc.","Retail Electronics,Computer,Mobiles","10/F Unionbank Plaza, Ortigas Center, Philippines"
PCCW Limited (PCCW),,"28/F Chatham House Building, Valero Street cor. Herrera Street, Makati City, Philippines"
"PCLenders Philippines, Inc.",,"Unit G 2/F Westgate Tower, MBP, Ayala Alabang, Muntinlupa City, Philippines"
PDJ Integrated Construction (INTEGCON),Construction,"2014 San Marcelino Street, Malate, Manila, Philippines"
Pearson Management Services Philippines Inc.,"HR Services/Education,Training","7F North Tower, Rockwell Business Center, Sheridan Corner United St. Mandaluyong City"
PEB Steel & Co., Steel manufacturing and construction,"5th flr Workspace Bldg, 1419 Industry St. cor.  Finance St. Madrigal Business Park, Alabang      "
"Pelican Express, Inc.",Transportation/Logistics,"30 Narra Street, Project 3, Quezon City, Philippines"
Penscott Corporation,Personal and Household Goods,"LRI Design Plaza, N. Garcia St., Bel air Makati City"
"Pentasoft Computer Technology, Inc.",,"Km. 29, National Road, Tunasan, Muntinlupa City, Philippines"
People Support Philippines Inc.,BPO,People Support Center Ayala Ave. Corner Sen. Gil Puyat Ave. Makati City
"Pepsi-Cola Products Philippines, Inc. (PCPPI)",Manufacturer of Softdrinks,"Limay, Bataan"
Petron Refinery - Bataan,,"Barangay Alangan, Limay, Bataan 2103"
"Phil-Data Business Systems, Inc.",,"Plant C & D, Champaca Street, Brgy. Fortune, Parang, Marikina City, Philippines"
Phil. IT Offshore Network,,"Unit 104 Mezzanine Greenrich Mansion, Lourdes Street, Ortigas Center. Brgy. San Antonio, Pasig City, Philippines"
Philcanvas Trading Corporation,General & Wholesale Trading,"3/F King's Court II Building, 2129, Chino Roces Avenue, Makati City, Philippines"
Philgen Engineering Services,Engineering Services,"150 Philan Drive Extn., Pasong Tamo, Quezon City"
"Philip Morris Fortune Tobacco (PMTC), Inc.",Tobacco Products,"CMD Building, PAL Gate 2, Andrews Avenue, Villamor Air Base, Pasay City, Philippines 1300"
Philippine Airlines (PAL),Airlines,"PAL Data Center Building, Domestic Road, Pasay City 1300"
Philippine Batteries Incorporated (Motolite),Automotive Wholesaler,"5/F RFM Corporate Center, Pioneer Street cor. Sheridan Street, Mandaluyong City, Manila, Philippines"
Philippine Center for Entrepreneurship (Go Negosyo),,neal@olvro-ltd.com
Philippine EDS Techno Services (Yazaki),Wiring Harness & Automotive Design,"18/F Ortigas Avenue Robinsons PCI Equitable Tower, Ortigas Center, Pasig City, Philippines"
Philippine Electricity Market Corporation,,"8755 PhilCom Building, Paseo de Roxas, Makati City, Philippines 1200"
"Philippine Global Communications, Inc. (PHILCOM)",Telecommunication Company,"Ramon Cojuangco Building, Makati Avenue, Makati City, Philippines"
Philippine Long Distance Telephone Company,Telecommunication Company,"5th Floor, Ramon Cojuangco Building, Makati Avenue, corner Ayala Avenue, Legaspi Village, Makati, 1226 Metro Manila"
Philippine National Bank,Banks/Financial Services,"PNB Financial Center, President Diosdado Macapagal Boulevard, Pasay City, Philippines"
"Philippine Prudential Life Insurance Company, Inc. (Philippine Prudential)",,"2/F Ersan Building, 32 Quezon Avenue, Quezon City, Philippines"
Philippine Renal Care (Bbraun),NO OTHER DOCOMENTS,"2/F JMT Condominium, ADB Avenue, Ortigas Center, Pasig City, Philippines"
Philippine Savings Bank,Banks/Financial Services,"PSBank Center, 777 Paseo de Roxas Avenue cor. Sedeño Street, Makati City, Philippines 1226"
Philippine Seven Corporation,,"7/F Columbia Tower, Ortigas Ave., Mandaluyong City"
"Philippine Stock Exchange, Inc. (PSE)",Stock Market/Trading Industry,"2/F PSE Plaza, Ayala Triangle, Ayala Avenue, Makatic City, Philippines"
Philippine Urological Association,HealthCare Equipment and Services,"3F PCA Bldg, 992 Edsa, Quezon City"
Philips Electronics and Lighting,Electrical and Electronics,"10/F Sun Life Centre, 5th Avenue cor. Rizal Drive, Bonifacio Global City, Taguig, Philippines 1634"
"Philips Semiconductors Philippines Inc. (NXP Semiconductors, Inc.)",Machinery,"Philips Avenue, LISP 1 , Bo. Diezmo, Cabuyao, Laguna, Philippines"
"Philko Ines, Inc.",Telecommunication,"2508 Herrera Tower, Valero Street cor. Rufino Street, Salcedo Village, Makati City, Philippines"
PhilKo UbINs Ltd. Corporation,Telecommunication,"3rd Floor D301, Tower D, Renaissance Tower, Meralco Ave, Pasig City"
Philproperties International Corporation,Real State/Land Management,"Carnival Food Park Blk 9 lot 18, 19, 20, 25, Gil Fernando, Sta Elena Marikina City"
Philweb Corporation,Entertainment/Media,"20/F Alphaland Southgate Tower, 2258 Chino Roces Ave. cor. Edsa, Makati City, Philippines "
"Phoenix Petroleum Philippines, Inc. (Phoenix Fuels)",Oil and Gas Company,"25/F Fort Legend Towers, 3rd Avenue cor. 31st Street, Fort Bonifacio, Global City, Taguig, Philippines"
PHP Dev,,"Corporate Offices Shell House, 156 Valero Street, Salcedo Village, Makati City, Philippines 1227"
Pierre & Paul Solutions,"Human Resources, Others: Recruirtment Firm","Unit 602A Summit One Tower, 530 Shaw Blvd. Brgy Highway Hills, Mandaluyong City 1550"
Pilipinas Shell Petroleum Corporation,Oil and Gas Company,"202 Roberto S. Oca Street cor. Railroad Street, Port Area, Manila, Philippines"
"Pilipino Star Ngayon, Inc.",Publishing Industry,Infarmco Road Brgy San Isidro Cabuyao Laguna
Pivot Analysis Sports Solutions,"Video-validated advanced metrics to enable analysis, scouting, and fan engagement","1004 The Orient Square Building, F. Ortigas Jr. Road, Pasig City, Philippines"
Pixelkit Inc. (Popsicle Games),Game Development,"153B Sct. Limbaga Ext., Brgy. Sacred Heart, Quezon City"
PixelMafia Corp. ,Game Development Industry,"Unit 2506-2508 One Corporate Center, Doña Julia Vargas Ave. cor. Meralco, Ortigas Center, Pasig City, Philippines"
"Playon Interactive, Inc.",,"12/F Citibank Center, 8741 Paseo de Roxas, Makati City, Philippines 1226"
PLDT Global(Phils.) Corp.,Telecommunication .,2F PLDT Global. Smart Tower 6799 Ayala Ave. Makati City
PMACS,IT Solution,27th Flr. Rufino Pacific Tower Ayala Ave. Makati City
Pointwest Inoovation Corporation,IT Consulting,"3F Pointwest Bldg. UP AYALA Technohub Commonwealth ave. Diliman, Quezon City"
Pointwest Technologies Corp. ,BPO,"16/F Presidents Tower, 1610 Timog Avenue, Quezon City, Philippines"
Policome Consruction and Development Corporation,Construction & Materials,"No. 1608 Sapang Bakaw Street, East Canumay, Service Road, Valenzuela City, Philippines"
Polyfoam - RGC International Corporation,Uratex Manufacturing,"7A 2nd Street, Brgy. Kapitolyo, Pasig City, Philippines 1603"
Power Mac Center (Apple Authorized Education Reseller),Electronics and Appliance Stores,"Unit 1105 11/F Antel Global Building, Julia Vargas Avenue, Ortigas Center, Pasig City, Philippines"
PLDT Global(Phils.) Corp.,Telecommunication ,2F PLDT Global. Smart Tower 6799 Ayala Ave. Makati City
PLDT Incorporated,Telecommunication,37 Noble St. Brgy 7 Batangas City
"Powercom Creative Agency, Inc. (Powercom)","Agencies and Sales Representative, Agents","14/F The Rockwell Business Centre Tower 2, Ortigas Avenue, Pasig City, Philippines 1604"
Premier Drafting Corporation,Advertiing/Design/Marketing,"Unit 501 Meriton one Building 1668 Quezon Ave. South Triangle, Quezon City"
PricewaterhouseCoopers Worldtrade Management Services,Custom & Trade Consulting Company,"Group Human Resource Department 20/F LKG Tower, 6801 Ayala Avenue Makati City, Philippines"
"Prime Orion Philippines, Inc.","real estate, manufacturing, finance and non-life insurance","3rd Floor, Main Building, Ben-Lor IT Center, 1184 Quezon Avenue, Diliman, Quezon City, Metro Manila"
Primecool Airconditioning Corporation,Repair & Maintenance Services,"139 Rd. 20. Brgy. Bahay Toro, Project 8, Quezon City"
Power Systems Inc.,Power Generation Equipments," 2/F Topy Commercial Bldg. lndustrial Cor. Economia St.  Libis, Quezon City"
"Process Synergy, Inc. (SMC's SMITS Subsidiary)",Shared Services Arm Of San Miguel Corporation,"Unit A 27/F Rufino Pacific Tower, 6784 Ayala Avenue, Makati City, Philippines 1223"
Professional Management & Consulting Services (PMaCS),,"12B LKG Tower, 6801 Ayala Avenue, Makati City, Philippines"
"Professional Staffers (A Division of John Clements Consultants, Inc.)",IT-Enabled Services/BPO,"Unit 219 The Manila Residences Tower II, 2310 Taft Avenue Malate, Maynila"
Prompt Managers & Construction,Construction Management,Unit 815 Pacific Century Tower Quezon Ave. Quezon City
Property Interactive Marketing Enterprise Reality Corp (Prime Philippines),,"2/F San Miguel Properties Center, #7 St. Francis Street, Mandaluyong City, Philippines 1550 "
Property Interactive Mktg. Ent.,Real State/ Land Management,"23/F Robinsons Cybergate Center Tower 3, Pioneer Street, Mandaluyong City, Philippines 1550"
"Prople BPO, Inc.",BPO,MTC Bldg. A. Soriano St. corner Azobispo St. Intramuros 
Propmech Corporation,"Marine Dealers,Sales, Distribution & Services","Unit 4 Catherine Square, Langkaan, Governor's Drive, Dasmariñas, Cavite, Philippines"
Prototype Contact Pads,Simeconductor,"37/F GT Tower International, 2813 Ayala Avenue, Makati City, Philippines 1226"
Procter & Gamble Philippines Business Services Inc.,Personal & Household Goods,"10/F Seven/Neo, 5th Avenue, Crescent Park West, Bonifacio Global City, Taguig 1634, Philippines"
ProV International,Software and Computer Services,"2/F Old BPC Building, Provincial Capitol Compound, Malolos City, Bulacan, Philippines 3000"
Provincial Cooperative & Enterprise Development Office (PCEDO),Government Organization,"14/F & 19/F Multinational Bancorporation Center, 6805 Ayala Avenue, Makati City, Philippines 1227"
"PSG Global Solutions, Inc.",IT Company,"2/F Marikina City Hall, Shoe Avenue, Sta. Elena, Marikina City, Philippines"
Public Information Office - Marikina City,,"Suite 4039 40/F PBCOM Tower, 6795 Ayala Avenue, Salcedo Village, Makati City, Philippines 1226"
"PurpleBug, Inc.",Digital Marketing,"Unit 806 Antel 2000 Corporate Center, 121 Valero St. Salcedo Village, Makati"
Qadra Web and Graphic Designs Services Inc.,Advertising / Design / Marketing,"Unit N, 6th floor , westgate tower , investment drive, muntinlupa city, 1780"
QuadX Inc.,_Ecommerce and Logistics,"2287 Chino Roces Avenue Extension Makati City, Philippines"
Quadrant Information Services,Computer/Information Technology (Software),"Unit 15A, 15/F Strata 2000, F. Ortigas Jr. Road, Ortigas, Pasig City, Philippines"
"Quantumworld Research Philippines, Inc.",IT Company,"Lot 7A-2 Sooner Farm Compound, Brgy. Timbao, Biñan, Laguna"
"Quest Air Technology Philippines, Inc.",Construction & Materials,"907-B Timog, Mandaluyong 1550"
Questronix Corporation,IT Services/Software and Computer Services,"178, Yakal, Makati, 1203 "
Quezon Power (Philippines),Power Generation,"62 H Dela Costa St., Barangay Daungan, Mauban, Quezon"
Quezon City Hall,Local Government,"Elliptical Road, Brgy. Central Diliman, Quezon City"
Quezon City Hall Engineering ,Local Government,"5th - 7th floor , Civic Center Building B, Elliptical Road Brgy. Central Diliman Q,C. "
Quickfire Games,Game Development,"111 R. Lagmay Street, San Juan City, Philippines"
Quintessence Information Technology Services,NO NOTHER DOCUMENTS,"JP Rizal Street cor. P. Tuazon Street, Project 4, Quezon City, Philippines 1109"
Quirino Memorial Medical Center,HealthCare/Hospital,"3/F Prosperity West Center Building, 92 West Avenue, Quezon City, Philippines"
Quorus Concepts and Designs,Software and Computer Services,"2/F Executive Building, Broadcast City, Capitol Hills, Diliman, Quezon City, Philippines"
R.B Sanchez Consulting Engineering,Structural Design,"1202 Jollibee Plaza F. Ortigas Jr. Road, Pasig City"
R.C. Javier Architectural Design and Construction ,Construction and Materials,"259 E. Dela Paz St., Maybangcal, Morong Rizal"
RR Encabo Constructors Incorporated,Construction & Materials,"40 Ashley St, North Fairview Quezon Cirty"
R.U Aquino Construction and Development Corporation,,
RA Kelman Inc,Chemicals,"708 (136) San Rafael Cor. 1 Lourdes St. Brgy. Plainview, Mandaluyong City. "
RACHIE’S CAR AIRCON & AUTO ELECTRICALS  ,Automobiles & Parts, 42 ILANG ILANG ST.  DONA PEPENG SUBD. BANABA7/5/2022
"Radio Philippines Network, Inc. (also known as Solar Television Network)",,"601 Globe Telecom Plaza II, Pioneer St. 1552, Mandaluyong City, Philippines"
Radix Systems Services Corporation,IT Outsourcing Company .,"2/F Summit One Tower, 530 Shaw Boulevard, Mandaluyong City, Philippines 1550"
RagingRiver ICT (RRICT),Software Development,4005 Summit One Tower 530 Shaw Blvd. Mandaluyong City
RAMCAR,,"Block 3 Lot 22, Macahora Building, Pacita Avenue, San Pedro City, Laguna, Philippines"
"Ranida Studios, Inc.",Software and Computer Services,"Unit 2501 Antel Global Corporate Center, 3 Julia Vargas Avenue, Ortigas Center, Pasig City, Philippines"
Rappler Inc.,Social News Network/Media,"Unit 607 Prince John Condominium No. 291 P. tuazon Blvd cor. 18th Ave Cubao, Quezon City"
Ravid Video Productions,Advertising & Broadcasting,"L-1 B-7 Isarog St., cor. Sierra Madre St., Amityville Subdivision, Rodriguez, Rizal"
RCD Electrical Design & Consultancy,Electrical Contractor,
RCW Construction Development Corporation,Construction & Materials,"Rm. 508 Jovan Condominium, Shaw Boulevard cor. Samat Street, Mandaluyong City, Philippines"
RD Divina Steel Corporation,Steel Construction .,"Unit 603 Tower II Pioneer Highlands, Pioneer Street cor. Madison Street, Mandaluyong City, Philippines 1552"
"Realtair, Inc.",Software & Computer Services,"9th Floor V Corporate Center, 125 LP Leviste St., Bel-Air, Makati City"
"RED CORE IT SOLUTIONS, INC.",IT Solutions/Software Development,"Unit 603, Pioneer Highlands Tower 2, Pioneer corner Madison Street, Boni Mandaluyong City"
"Red Rap Bros., Inc.",Advertising/Photography,"22 Malingap St. Teachers Village, Quezon City"
Redmap Networks Asia Inc.,"Data Processing, Hosting, and Related Services","3F NCI BLDG 105 Rada st, Legaspi Vill Makati City"
"Reed Elsevier Shared Services Philippines, Inc.",Support Services,"2F, Building H, UP Ayaland Technohub, Commonwealth ave, Diliman, Quezon City"
Regulus Trading ,Food & Beverages,472 M De Santos Brgy 275 San Nicolas Tondo Manila
Reign-nan Sales Industry Inc.,General Contractor,"B19 Lot 2 Katapatan St. Subdivision, Brgy. Banaybanay, Cabuyao Laguna"
Rend Enterprises & General Construction,Construction & Materials,"8/F Rufino Centre Building, 6784 Ayala Avenue, Makati City, Philippines 1226"
"Rendition Digital International, Inc. (Asia)",IT Solution,"20/F The Salcedo Tower, 169 H.V. Dela Costa Street, Salcedo Village, Makati City, Philippines"
Republic Cement Corporation - Lafarge,,"Unit 203 - 208, Plaza 100 Building, V. A. Rufino Street cor Dela Rosa Street, Legaspi Village, Makati City, Philippines"
"REWSS Philippines, Inc. ",Software Development,"4/F Dominion Building, 833 A. Arnaiz Avenue, Makati City, Philippines 1200"
"Rider Levett Bucknaill Philippines, Inc.",Construction & Materials,"Bldg 3 Corazon Clemena Compound, 54 Danny Floro St. Bagong Ilog, Pasig City"
"Right Computer Systems, Inc.",IT Solution,"2F HRC Bldg., 104 Rada St. Legaspi Village Makati City 1229"
RING CENTRAL,,
"Rising Tide Mobile Entertainment, Inc.",Advertising/Design/Marketing,"1704-1706 Hanston Square Bdg. Ortigas Center, Pasig City"
Riskmetrics Group,"Financial Services, Corporate Governance/BPO","15F Solaris One Building, 130 Dela Rosa St. Makati City"
"Ritemed Philippines, Inc.",manufacturing and sells pharmaceuticals,"Mamplasan, Laguna"
Rivan IT Training Systems,IT Solution,"2138 Mendiola Square Building, Claro M. Recto Ave. Quiapo, Manila"
Rizal Commercial Banking Corp. (RCBC),Financial Services,"Yuchengco Tower, RCBC Plaza, 6819 Ayala Ave. Makati City"
"RJ Calpo and Company, Inc.",MVAC Engineering,"23/F W Fifth Building, 5th Avenue cor. 32nd Street, Fort Bonifacio Global City, Taguig, Philippines 1634"
"Robert Bosch Communication Center, Inc. (RBCCI)",BPO,"110 E. Rodriguez Jr. Avenue, Libis, Quezon City, Philippines"
Robig Builders and Development Corporation,Construction & Materials,#27 Sta Catalina St. Brgy. Kapitolyo Pasig City
Robinsons Cyberscape Gamma,,
"Robinsons Land Corporation, Housing and Land Division",Real State/Land Management,"Level 1 West Lane, Robinsons Galleria, EDSA cor. Ortigas Avenue, Ortigas Center, Pasig"
"Robinsons Retail Holdings, Inc. (Robinson, Inc)",Retail and Distribution,"Level 2, Galleria Corporate Center, EDSA cor. Ortigas Avenue, Quezon City, Philippines 1100"
Robinsons Savings Bank,,"909 One Corporate Centre, Doña Julia Vargas Avenue cor. Meralco Avenue, Ortigas Center, Pasig City, Philippines 1605"
Robocash Finance Corporation,Financial Services/Robocash,"7F Cyberpark 1 Cubao, Quezon City"
"Rogomi, Inc. (formerly Numlock Solutions)",,"10/F Anson's Centre, 23 ADB Avenue, Ortigas Center, Pasig City, Philippines"
ROHM LSI Design,Electrical and Electronic Equipment,"G/F Mamikas Building, Riverside Drive, Ortigas Ext., Sta. Lucia, Pasig City, Philippines"
Roy Cruz Machine Shop & Conversion,Machine Shop,"15 C. Raymundo Ave. Rosario, Pasig City"
RPV Electro Technology Phils. Corp.,,"9/F Jafer Place, 19 Eisenhower Street, Greenhills, San Juan City, Philippines 1504"
"Resonant Technology Solutions Phils., Inc.",Software & Computer Services,"Unit 605 Cityland 10 Tower II, H.V. Dela Costa St., Salcedo, Makati City"
RVVP International Corporation,Construction&Materials/Industrial Engineering,"314 Reyes St., Bangkulasi Navotas City"
S&V Global Trading Inc.,Construction & Materials,UNIT 409 HAVEN BLDG. CONGRESSIONAL AVE. EXT BRGY CULIAT QC
"Sagesoft Solutions, Inc.",IT Services,"W-9 Sunblest Compound, Km 23, West Service Road, Cupang, Muntinlupa City, Philippines"
Saint Matthew's Publishing Corporation,Educational,"744 Baltazar St. Cristi Compound, Guitnang Bayan I, San Mateo, Rizal"
Salmat Business Force,Internet Marketing,"Brgy. Lourdes, Teopaco, City of San Fernando, Pamanga, Philippines"
Samsung Electronics Phils. Corp,Software and Computer Services,"Science Hub Tower 3, 1110 Campus Ave., McKinley Hill Cyberpark, Fort Bonifacio, Taguig City"
"San Fernando Electric Light & Power Co., Inc.",Power Distribution,"Tulat Road, San Jose City, Nueva Ecija"
San Jose City I Power Corporation,Power Distribution,"Road 1, Minuyan, City of San Jose Del Monte, Bulacan, Philippines"
San Jose Del Monte Water District,Water Distribution,"17th Floor JMT Corporate Condominium ADB Avenue, Ortigas Center, Pasig City"
San Juan City Disaster Risk Reduction and Management,Government Services,Pinaglabanan St. Brgy. Corazon De Jesus  San Juan City
"San Miguel - Monterey (San Miguel Foods, Inc.)",,"No. 40 San Miguel Avenue, Mandaluyong City, Philippines"
San Miguel Brewery,,"BBB, Marulas, Valenzuela City"
San Miguel Corporation,,"45 Muelle Dela-Industria, Delpan, Binondo, Manila, Philippines"
San Miguel Packaging Specialist Manila Glass Plant,,"JMT Corporate Condominium, ADB Avenue, Ortigas Center, Pasig City, Philippines"
"San Miguel Purefoods Company, Inc.",,"9/F San Miguel Properties Centre, No. 7 Street, Ortigas Center, Mandaluyong City, Philippines 1550"
San Miguel Yamamura Packaging Corporation (SMYPC),Packaging Solution,"Level 5, The Glass Tower Building, 115 C. Palanca Street, Legaspi Village, Makati City, Philippines 1229"
"Sandstone Technology Philippines, Inc.",Software Development,"3/F Feliza Building, 108  V.A Rufino Street, Legaspi Village, Makati City, Philippines 1229"
"Sanofi-Aventis Phils., Inc.",Pharmaceutical,"Unit 3S-121 Forab Building, Kamuning, Quezon City, Philippines"
"Santelmo Studio, Inc.",,"Unit 3A - 121 Forab Building, Kamuning Road, Quezon City"
Savage Ad Fox Inc,Graphic Design,"Unit B 2ndF LG Centre Bldg., J. Elizalde St. Brgy. BF homes Paranaque City"
"Save22, Inc.",,"15/F JMT Corporate Condominium, ADB Avenue, Ortigas Center, Pasig City, Philippines"
"SCHEMA Konsult, Inc.",Consulting Company,"6797 Ayala Avenue, Makati City, Philippines"
Schneider-Electric,,"Administration Building, Lot 1, Blk 5, Phase 2, PEZA, Rosario, Cavite 4106"
Security Bank Corporation,Banking/Financial Services,"10-A Xavierville Avenue, Loyola Heights, Quezon City, Philippines"
"SED Probuild Concepts, Inc.","Interior,Architectural Design & Construction","Unit 806 Ecotower, 32nd Street cor. 9th Avenue, Bonifacio Global City, Taguig City, Philippines"
"Seer Technologies, Inc.",Software Company,"QBO Innovation Hub, DTI International Bldg. Sen. Gil Puyat Ave. Makati, Metro Manila"
Senti Techlabs Inc.,"Software Service, Business Analytics","19 Malacca Street, BF Thai, Parañaque City, Philippines"
"SEO Rank Marketing Services, Inc.",Internet Marketing Company,"2/F Jaguar Service Center, 3904 Quingua Street, Bgy. Pinagkaisahan, Makati City, Philippines 1200"
"Sercomm Philippines, Inc.",Electronic Manufacturing,"LT 15 Road 3 Calmelray Industrial Park CIP 1 BRGY Canlubang, Calamba City, Laguna"
"ServCom, Inc.",Preventive Maintenance Service Contractor,"SFI Corporate Center, 105 West Avenue, Quezon City, Philippines 1104"
"Servicio Filipino, Inc.",HR Consultancy,"No. 20 North Road cor. 3rd Avenue, Cubao, Quezon City, Philippines"
"Servimax Technologies, Inc.",BPO,"Marcos Highway, Sitio Daan, Brgy. Dela Paz, Pasig City, Philippines"
SharePro,Engineering & Construction Management," Vector One Building, Northgate Cyberzone Filinvest Alabang"
"Shaw Autogas, Inc.",Gas Refiling Station,"154 Hernandez Building, Katipunan Avenue, Quezon City, Philippines"
Sheah Designs Bridals & Dresses,Fashion Designer,"No. 60 Chicago Avenue, Cubao, Quezon City, Philippines"
"Shepherd's Voice Publication, Inc.",Publishers-Books and Magazines,"60 Chicago Avenue, Cubao, Quezon City"
Siemens - Batangas,Engineering and Technological Solutions,"Sta. Rita Karsada, Batangas City"
